Year,Regional Veterinary Offices,C03321V04008,DAA01C01,DAA01C02,DAA01C03,DAA01C04,DAA01C05,DAA01C06,DAA01C07,DAA01C08,DAA01C09
2010,Office 1,1,2035.0,2018.0,247.0,12.24,174.0,159245.0,372426.0,324.0,2.64
2010,Office 2,2,2045.0,1935.0,77.0,3.98,183.0,123166.0,258766.0,150.0,1.4
2010,Office 3,3,1429.0,1407.0,98.0,6.97,141.0,94421.0,847922.0,31.0,2.46
2010,Office 4,4,2305.0,2248.0,60.0,2.67,116.0,275282.0,233880.0,598.0,0.52
2010,Office 5,5,4537.0,4500.0,200.0,4.44,171.0,19646.0,480772.0,69.0,0.29
2010,Office 6,6,3978.0,3932.0,143.0,3.64,108.0,102347.0,327700.0,1809.0,0.8
2010,Office 7,7,3773.0,3763.0,134.0,3.56,10.0,237428.0,93146.0,31.0,0.46
2010,Office 8,8,3671.0,3642.0,386.0,10.6,89.0,19646.0,127786.0,31.0,0.29
2010,Office 9,9,2873.0,2805.0,235.0,8.38,62.0,279876.0,80696.0,1117.0,1.39
2010,Office 10,10,3488.0,3476.0,154.0,4.43,177.0,19646.0,256616.0,1551.0,2.49
2010,Office 11,11,2714.0,2685.0,315.0,11.73,76.0,19646.0,151625.0,435.0,2.1
2010,Office 12,12,3559.0,3544.0,84.0,2.37,97.0,382298.0,145592.0,188.0,1.94
2010,Office 13,13,1207.0,1192.0,17.0,1.43,131.0,308652.0,492455.0,191.0,0.31
2010,Office 14,14,3754.0,3634.0,103.0,2.83,42.0,19646.0,715632.0,259.0,2.95
2010,Office 15,15,3488.0,3465.0,185.0,5.34,30.0,67866.0,351826.0,243.0,2.25
2010,Office 16,16,3124.0,3121.0,382.0,12.24,101.0,19646.0,62691.0,1015.0,3.47
2010,Office 17,17,4586.0,4583.0,299.0,6.52,225.0,19646.0,363161.0,424.0,1.27
2010,Office 18,18,3077.0,2998.0,103.0,3.44,95.0,145940.0,447816.0,1069.0,2.15
2010,Office 19,19,4274.0,4133.0,95.0,2.3,116.0,222076.0,689652.0,601.0,1.63
2010,Office 20,20,4646.0,4596.0,75.0,1.63,107.0,50276.0,183247.0,158.0,3.11
2010,Office 21,21,3895.0,3823.0,113.0,2.96,210.0,98296.0,567007.0,600.0,2.56
2010,Office 22,22,2516.0,2499.0,120.0,4.8,19.0,19646.0,238241.0,806.0,1.0
2010,Office 23,23,3508.0,3369.0,87.0,2.58,136.0,155136.0,161426.0,31.0,7.17
2010,Office 24,24,2182.0,2167.0,169.0,7.8,147.0,30183.0,152095.0,345.0,2.04
2010,Office 25,25,3104.0,3084.0,76.0,2.46,10.0,26868.0,381560.0,31.0,2.28
2010,Office 26,26,3323.0,3301.0,408.0,12.36,119.0,67358.0,150607.0,31.0,6.08
2010,Office 27,27,4168.0,4157.0,310.0,7.46,10.0,120153.0,125637.0,140.0,0.74
2010,Office 28,28,1104.0,1095.0,17.0,1.55,24.0,149783.0,515198.0,440.0,1.66
2010,Office 29,29,5031.0,4963.0,97.0,1.95,76.0,186527.0,224796.0,31.0,1.67
2011,Office 1,1,3642.0,3630.0,172.0,4.74,78.0,33961.0,406474.0,31.0,1.02
2011,Office 2,2,3789.0,3768.0,284.0,7.54,134.0,19646.0,145241.0,973.0,3.83
2011,Office 3,3,4214.0,4205.0,135.0,3.21,65.0,19646.0,458931.0,134.0,2.47
2011,Office 4,4,4493.0,4423.0,475.0,10.74,105.0,53514.0,492238.0,358.0,0.64
2011,Office 5,5,3034.0,2982.0,77.0,2.58,19.0,271678.0,360437.0,2280.0,3.11
2011,Office 6,6,7499.0,7351.0,160.0,2.18,72.0,122212.0,417579.0,279.0,3.05
2011,Office 7,7,2605.0,2470.0,288.0,11.66,207.0,92957.0,468934.0,184.0,3.02
2011,Office 8,8,1137.0,1126.0,17.0,1.51,105.0,19646.0,225618.0,407.0,0.29
2011,Office 9,9,1092.0,1028.0,60.0,5.84,141.0,143333.0,171284.0,524.0,1.65
2011,Office 10,10,378.0,325.0,25.0,7.69,10.0,208866.0,353946.0,31.0,1.47
2011,Office 11,11,2942.0,2923.0,101.0,3.46,44.0,456800.0,285402.0,1098.0,2.16
2011,Office 12,12,4753.0,4724.0,141.0,2.98,152.0,146279.0,210307.0,31.0,2.48
2011,Office 13,13,2541.0,2498.0,207.0,8.29,256.0,589184.0,197637.0,31.0,2.02
2011,Office 14,14,1515.0,1493.0,60.0,4.02,120.0,56381.0,357019.0,174.0,0.29
2011,Office 15,15,4248.0,4209.0,275.0,6.53,56.0,19646.0,90899.0,166.0,0.91
2011,Office 16,16,465.0,406.0,42.0,10.34,68.0,19646.0,301853.0,31.0,1.95
2011,Office 17,17,5194.0,5160.0,118.0,2.29,157.0,353524.0,670456.0,1365.0,1.18
2011,Office 18,18,11145.0,11114.0,229.0,2.06,53.0,320439.0,679511.0,298.0,1.26
2011,Office 19,19,2363.0,2342.0,50.0,2.13,205.0,19646.0,594681.0,1373.0,4.32
2011,Office 20,20,2928.0,2870.0,128.0,4.46,23.0,446697.0,199267.0,1440.0,2.54
2011,Office 21,21,2657.0,2611.0,76.0,2.91,156.0,88336.0,224506.0,664.0,2.15
2011,Office 22,22,3028.0,3012.0,138.0,4.58,155.0,42272.0,122180.0,447.0,4.39
2011,Office 23,23,3889.0,3852.0,89.0,2.31,10.0,19646.0,429134.0,197.0,4.35
2011,Office 24,24,1792.0,1707.0,89.0,5.21,142.0,246806.0,406811.0,552.0,3.02
2011,Office 25,25,4510.0,4486.0,123.0,2.74,144.0,54623.0,379488.0,279.0,1.45
2011,Office 26,26,4240.0,4218.0,168.0,3.98,130.0,80608.0,99598.0,31.0,2.78
2011,Office 27,27,1054.0,922.0,65.0,7.05,72.0,35578.0,442360.0,31.0,2.2
2011,Office 28,28,1045.0,1028.0,171.0,16.63,140.0,44675.0,317538.0,31.0,5.43
2011,Office 29,29,2941.0,2914.0,142.0,4.87,165.0,311218.0,204212.0,540.0,1.33
2012,Office 1,1,1351.0,1329.0,37.0,2.78,73.0,95980.0,121241.0,31.0,1.21
2012,Office 2,2,5079.0,5009.0,135.0,2.7,93.0,41672.0,175701.0,309.0,2.91
2012,Office 3,3,4607.0,4604.0,86.0,1.87,10.0,19646.0,387496.0,31.0,0.72
2012,Office 4,4,4079.0,4055.0,153.0,3.77,78.0,59156.0,501262.0,1105.0,6.96
2012,Office 5,5,3194.0,3181.0,51.0,1.6,69.0,82741.0,301433.0,902.0,2.0
2012,Office 6,6,4083.0,4056.0,94.0,2.32,84.0,102331.0,280046.0,802.0,2.33
2012,Office 7,7,4519.0,4502.0,361.0,8.02,54.0,19646.0,212413.0,1133.0,0.29
2012,Office 8,8,2804.0,2600.0,196.0,7.54,96.0,19646.0,262009.0,60.0,9.64
2012,Office 9,9,2370.0,2349.0,187.0,7.96,115.0,88155.0,440523.0,2176.0,0.63
2012,Office 10,10,1873.0,1861.0,62.0,3.33,81.0,406310.0,48755.0,31.0,1.93
2012,Office 11,11,5366.0,5310.0,246.0,4.63,94.0,273763.0,317003.0,1252.0,1.6
2012,Office 12,12,3714.0,3514.0,161.0,4.58,45.0,38565.0,214744.0,31.0,1.44
2012,Office 13,13,2791.0,2770.0,93.0,3.36,61.0,54486.0,61611.0,536.0,0.29
2012,Office 14,14,6693.0,6627.0,317.0,4.78,71.0,181685.0,163107.0,115.0,0.9
2012,Office 15,15,338.0,325.0,17.0,5.23,149.0,73084.0,103224.0,875.0,0.29
2012,Office 16,16,2208.0,1923.0,79.0,4.11,52.0,19646.0,24987.0,31.0,3.25
2012,Office 17,17,2750.0,2720.0,125.0,4.6,157.0,102592.0,465936.0,335.0,2.72
