Year,Regional Veterinary Offices,C03321V04008,DAA01C01,DAA01C02,DAA01C03,DAA01C04,DAA01C05,DAA01C06,DAA01C07,DAA01C08,DAA01C09
2010,Office 1,1,7695.0,7592.0,244.0,3.21,141.0,312582.0,439484.0,779.0,1.4
2010,Office 2,2,1144.0,1081.0,105.0,9.71,76.0,208545.0,268453.0,322.0,1.28
2010,Office 3,3,2044.0,1964.0,162.0,8.25,76.0,261703.0,404058.0,1070.0,2.58
2010,Office 4,4,3133.0,3112.0,106.0,3.41,41.0,106728.0,171201.0,386.0,2.86
2010,Office 5,5,3136.0,3095.0,98.0,3.17,46.0,77296.0,116119.0,492.0,3.47
2010,Office 6,6,3132.0,3087.0,177.0,5.73,92.0,207754.0,293864.0,842.0,3.21
2010,Office 7,7,840.0,797.0,41.0,5.14,36.0,112481.0,149924.0,264.0,1.33
2010,Office 8,8,10682.0,10543.0,300.0,2.85,167.0,471993.0,630242.0,1151.0,1.03
2010,Office 9,9,1454.0,1408.0,74.0,5.26,42.0,82146.0,96362.0,104.0,0.89
2010,Office 10,10,1879.0,1865.0,124.0,6.65,57.0,94768.0,145704.0,720.0,4.94
2010,Office 11,11,2863.0,2799.0,120.0,4.29,89.0,147656.0,218691.0,248.0,1.12
2010,Office 12,12,4367.0,4343.0,99.0,2.28,68.0,313133.0,373585.0,260.0,0.72
2010,Office 13,13,3929.0,3880.0,152.0,3.92,98.0,377297.0,492107.0,268.0,0.51
2010,Office 14,14,5143.0,5129.0,207.0,4.04,130.0,229869.0,329070.0,1021.0,3.26
2010,Office 15,15,1288.0,1244.0,50.0,4.02,21.0,94358.0,117258.0,117.0,1.03
2010,Office 16,16,6586.0,6541.0,183.0,2.8,72.0,187592.0,245673.0,683.0,2.77
2010,Office 17,17,795.0,781.0,39.0,4.99,35.0,94557.0,107384.0,71.0,0.76
2010,Office 18,18,2379.0,2366.0,96.0,4.06,60.0,81493.0,118520.0,339.0,2.27
2010,Office 19,19,9621.0,9548.0,393.0,4.12,225.0,508565.0,740221.0,1897.0,1.85
2010,Office 20,20,11796.0,11639.0,411.0,3.53,211.0,569785.0,810026.0,2354.0,2.37
2010,Office 21,21,4401.0,4380.0,187.0,4.27,93.0,148989.0,203181.0,825.0,3.61
2010,Office 22,22,1764.0,1755.0,48.0,2.74,18.0,20230.0,28585.0,222.0,4.89
2010,Office 23,23,7954.0,7887.0,251.0,3.18,145.0,424853.0,629259.0,1134.0,1.29
2010,Office 24,24,4038.0,3929.0,172.0,4.38,80.0,307291.0,405895.0,647.0,1.35
