Year,Regional Veterinary Offices,C03321V04008,DAA01C01,DAA01C02,DAA01C03,DAA01C04,DAA01C05,DAA01C06,DAA01C07,DAA01C08,DAA01C09
2010,Office 1,1,2963.0,2861.0,128.0,4.47,152.0,238406.0,406134.0,795.0,1.53
2010,Office 2,2,10580.0,10514.0,162.0,1.54,100.0,380699.0,363097.0,977.0,1.41
2010,Office 3,3,3165.0,3020.0,188.0,6.23,93.0,224697.0,361007.0,1110.0,1.38
2010,Office 4,4,3473.0,3410.0,344.0,10.09,172.0,305282.0,428448.0,1384.0,1.43
2010,Office 5,5,5449.0,5320.0,154.0,2.89,111.0,190617.0,243868.0,1120.0,1.97
2010,Office 6,6,5584.0,5485.0,98.0,1.79,72.0,204581.0,278979.0,656.0,1.63
2010,Office 7,7,6056.0,5977.0,236.0,3.95,99.0,451370.0,525163.0,1099.0,1.48
2010,Office 8,8,6353.0,6211.0,291.0,4.69,112.0,391791.0,474699.0,1265.0,2.41
2010,Office 9,9,5811.0,5702.0,184.0,3.23,106.0,292264.0,472369.0,731.0,1.78
2010,Office 10,10,9811.0,9711.0,244.0,2.51,83.0,405802.0,644965.0,1220.0,1.42
2010,Office 11,11,1205.0,1158.0,129.0,11.14,51.0,139381.0,68711.0,197.0,2.07
2010,Office 12,12,5486.0,5376.0,94.0,1.75,122.0,252749.0,346179.0,446.0,1.19
2010,Office 13,13,3209.0,3174.0,157.0,4.95,45.0,87147.0,156367.0,630.0,1.8
2010,Office 14,14,6476.0,6365.0,212.0,3.33,94.0,433799.0,484780.0,1510.0,0.99
2010,Office 15,15,6881.0,6784.0,198.0,2.92,112.0,263429.0,436756.0,1337.0,1.67
2010,Office 16,16,2901.0,2850.0,199.0,6.98,76.0,206774.0,278585.0,609.0,2.99
2010,Office 17,17,2911.0,2885.0,107.0,3.71,66.0,97573.0,456952.0,450.0,1.48
2010,Office 18,18,2616.0,2577.0,209.0,8.11,113.0,207421.0,322133.0,1093.0,2.77
2010,Office 19,19,1519.0,1475.0,35.0,2.37,43.0,94394.0,87021.0,141.0,2.2
2010,Office 20,20,6036.0,5893.0,357.0,6.06,156.0,404171.0,589230.0,1278.0,3.49
2010,Office 21,21,3508.0,3437.0,160.0,4.66,59.0,313666.0,374081.0,590.0,2.05
2010,Office 22,22,3026.0,2951.0,67.0,2.27,77.0,232147.0,300200.0,459.0,2.65
2010,Office 23,23,3717.0,3580.0,175.0,4.89,123.0,231493.0,434438.0,755.0,1.82
2010,Office 24,24,3347.0,3296.0,83.0,2.52,123.0,249767.0,292831.0,676.0,1.8
2010,Office 25,25,3415.0,3327.0,140.0,4.21,37.0,216317.0,324801.0,460.0,2.04
2010,Office 26,26,3093.0,3058.0,92.0,3.01,44.0,80797.0,62511.0,274.0,1.09
2010,Office 27,27,3380.0,3326.0,112.0,3.37,127.0,250930.0,298578.0,964.0,1.89
2010,Office 28,28,3271.0,3186.0,123.0,3.86,65.0,213442.0,274690.0,727.0,1.06
2010,Office 29,29,3366.0,3306.0,186.0,5.63,75.0,296812.0,681575.0,759.0,1.74
2011,Office 1,1,3249.0,3217.0,155.0,4.82,60.0,301886.0,454436.0,736.0,1.79
2011,Office 2,2,5796.0,5728.0,335.0,5.85,124.0,293336.0,559552.0,1119.0,1.41
2011,Office 3,3,11744.0,11639.0,306.0,2.63,177.0,491208.0,498120.0,1041.0,1.4
2011,Office 4,4,3530.0,3464.0,322.0,9.3,118.0,413155.0,375065.0,900.0,2.69
2011,Office 5,5,6131.0,6027.0,199.0,3.3,77.0,548933.0,349286.0,964.0,1.38
2011,Office 6,6,340.0,325.0,35.0,10.77,15.0,19646.0,66385.0,59.0,8.14
2011,Office 7,7,2952.0,2922.0,62.0,2.12,38.0,216142.0,390501.0,215.0,1.14
2011,Office 8,8,3305.0,3223.0,180.0,5.58,87.0,210576.0,300030.0,493.0,1.6
2011,Office 9,9,2561.0,2531.0,79.0,3.12,99.0,183241.0,226419.0,596.0,2.52
2011,Office 10,10,3741.0,3671.0,148.0,4.03,107.0,206652.0,316592.0,840.0,4.5
2011,Office 11,11,3377.0,3338.0,56.0,1.68,27.0,97648.0,155653.0,246.0,1.8
2011,Office 12,12,3660.0,3550.0,150.0,4.23,91.0,241383.0,451650.0,744.0,1.84
2011,Office 13,13,9792.0,9580.0,318.0,3.32,140.0,252344.0,507282.0,693.0,1.66
2011,Office 14,14,3220.0,3186.0,152.0,4.77,78.0,125240.0,164883.0,405.0,1.22
2011,Office 15,15,3632.0,3473.0,270.0,7.77,138.0,269583.0,415375.0,1345.0,1.63
2011,Office 16,16,1617.0,1581.0,97.0,6.14,46.0,104562.0,109633.0,294.0,0.51
2011,Office 17,17,3207.0,3186.0,167.0,5.24,109.0,254662.0,356229.0,871.0,1.74
2011,Office 18,18,3109.0,3035.0,70.0,2.31,40.0,195468.0,267309.0,907.0,1.64
2011,Office 19,19,3319.0,3240.0,172.0,5.31,141.0,238316.0,359416.0,916.0,1.36
2011,Office 20,20,3022.0,2957.0,197.0,6.66,119.0,256558.0,317197.0,410.0,2.0
2011,Office 21,21,3285.0,3233.0,243.0,7.52,121.0,211380.0,318909.0,1236.0,2.12
2011,Office 22,22,1359.0,1306.0,66.0,5.05,25.0,69173.0,132767.0,102.0,1.49
2011,Office 23,23,5911.0,5776.0,385.0,6.67,128.0,501335.0,477274.0,1060.0,1.86
2011,Office 24,24,3385.0,3298.0,219.0,6.64,109.0,230339.0,335269.0,829.0,2.71
2011,Office 25,25,4153.0,4072.0,80.0,1.96,126.0,261147.0,402300.0,725.0,0.98
2011,Office 26,26,3492.0,3439.0,124.0,3.61,124.0,157246.0,383634.0,719.0,2.14
2011,Office 27,27,3055.0,2989.0,112.0,3.75,42.0,209650.0,320330.0,429.0,0.84
2011,Office 28,28,3714.0,3657.0,168.0,4.59,74.0,169137.0,404069.0,306.0,1.13
2011,Office 29,29,1569.0,1559.0,169.0,10.84,67.0,185809.0,316473.0,387.0,2.05
2012,Office 1,1,5287.0,5211.0,279.0,5.35,116.0,480746.0,477946.0,1209.0,2.05
2012,Office 2,2,3681.0,3641.0,100.0,2.75,81.0,273525.0,338393.0,631.0,3.01
2012,Office 3,3,2831.0,2811.0,149.0,5.3,60.0,73546.0,346879.0,584.0,1.42
2012,Office 4,4,1538.0,1504.0,22.0,1.46,13.0,64616.0,102152.0,178.0,1.39
2012,Office 5,5,2482.0,2478.0,145.0,5.85,35.0,65629.0,79996.0,341.0,1.73
2012,Office 6,6,1046.0,1008.0,90.0,8.93,15.0,19646.0,274681.0,144.0,1.06
2012,Office 7,7,3399.0,3344.0,151.0,4.52,43.0,226062.0,395562.0,374.0,2.13
2012,Office 8,8,1240.0,1222.0,53.0,4.34,17.0,22825.0,123679.0,41.0,1.39
2012,Office 9,9,5174.0,5084.0,166.0,3.27,88.0,232126.0,533275.0,442.0,1.56
2012,Office 10,10,3806.0,3731.0,175.0,4.69,99.0,181323.0,214033.0,1080.0,2.11
2012,Office 11,11,3805.0,3744.0,204.0,5.45,91.0,297588.0,457216.0,159.0,1.43
2012,Office 12,12,3625.0,3580.0,202.0,5.64,56.0,243191.0,297714.0,615.0,1.62
2012,Office 13,13,869.0,836.0,97.0,11.6,43.0,103427.0,122918.0,31.0,1.15
2012,Office 14,14,2907.0,2851.0,198.0,6.94,84.0,273814.0,334502.0,1030.0,2.02
2012,Office 15,15,3744.0,3653.0,168.0,4.6,87.0,241686.0,344396.0,350.0,0.83
2012,Office 16,16,3198.0,3162.0,85.0,2.69,83.0,195974.0,314432.0,1208.0,2.14
2012,Office 17,17,3631.0,3561.0,198.0,5.56,107.0,290931.0,595515.0,740.0,1.99
2012,Office 18,18,634.0,585.0,65.0,11.11,67.0,85650.0,24987.0,153.0,0.53
2012,Office 19,19,5022.0,4957.0,330.0,6.66,166.0,375489.0,391423.0,1208.0,2.45
2012,Office 20,20,1432.0,1403.0,65.0,4.63,46.0,67576.0,130598.0,722.0,1.42
2012,Office 21,21,3494.0,3427.0,122.0,3.56,69.0,280992.0,348498.0,697.0,1.54
2012,Office 22,22,3131.0,3096.0,164.0,5.3,49.0,256380.0,361132.0,1102.0,1.98
2012,Office 23,23,5994.0,5915.0,205.0,3.47,124.0,529676.0,598615.0,1053.0,1.54
2012,Office 24,24,2602.0,2552.0,73.0,2.86,29.0,112297.0,120270.0,767.0,1.46
2012,Office 25,25,652.0,629.0,55.0,8.74,27.0,88816.0,69738.0,282.0,0.29
2012,Office 26,26,3177.0,3124.0,129.0,4.13,64.0,263008.0,364058.0,616.0,2.03
2012,Office 27,27,499.0,478.0,25.0,5.23,24.0,19646.0,24987.0,215.0,9.64
2012,Office 28,28,3680.0,3609.0,140.0,3.88,77.0,259136.0,263068.0,339.0,2.17
2012,Office 29,29,3107.0,3082.0,102.0,3.31,44.0,210973.0,292339.0,344.0,1.8
2013,Office 1,1,1079.0,1012.0,47.0,4.64,18.0,51597.0,62999.0,153.0,1.97
2013,Office 2,2,2600.0,2548.0,74.0,2.9,93.0,70630.0,123154.0,139.0,1.36
2013,Office 3,3,4062.0,4020.0,83.0,2.06,82.0,268253.0,315545.0,591.0,1.21
2013,Office 4,4,2919.0,2878.0,77.0,2.68,36.0,176231.0,218409.0,184.0,1.66
2013,Office 5,5,3443.0,3401.0,113.0,3.32,61.0,49008.0,138634.0,327.0,2.22
2013,Office 6,6,3431.0,3354.0,147.0,4.38,22.0,176267.0,204611.0,95.0,1.52
2013,Office 7,7,3142.0,3057.0,115.0,3.76,48.0,281637.0,335410.0,652.0,0.74
2013,Office 8,8,2445.0,2421.0,38.0,1.57,21.0,82092.0,77720.0,79.0,0.87
2013,Office 9,9,1593.0,1549.0,64.0,4.13,23.0,58122.0,24987.0,350.0,2.23
2013,Office 10,10,3939.0,3851.0,175.0,4.54,46.0,178811.0,360182.0,807.0,1.86
2013,Office 11,11,3119.0,3081.0,238.0,7.72,115.0,227142.0,313999.0,675.0,1.97
2013,Office 12,12,3036.0,3022.0,83.0,2.75,34.0,92198.0,74402.0,283.0,1.65
2013,Office 13,13,3642.0,3563.0,182.0,5.11,97.0,245877.0,437648.0,938.0,1.53
2013,Office 14,14,3373.0,3288.0,160.0,4.87,95.0,205224.0,329922.0,722.0,2.16
2013,Office 15,15,2816.0,2785.0,161.0,5.78,99.0,227431.0,402293.0,603.0,1.25
2013,Office 16,16,3311.0,3252.0,165.0,5.07,81.0,253792.0,308829.0,747.0,1.94
2013,Office 17,17,7235.0,7164.0,157.0,2.19,124.0,353890.0,379621.0,668.0,1.33
2013,Office 18,18,3161.0,3136.0,151.0,4.82,124.0,275555.0,327345.0,434.0,1.59
2013,Office 19,19,5411.0,5291.0,244.0,4.61,125.0,272350.0,345223.0,1002.0,2.78
2013,Office 20,20,3592.0,3563.0,125.0,3.51,108.0,273044.0,293730.0,364.0,2.28
2013,Office 21,21,344.0,325.0,39.0,12.0,44.0,43313.0,32025.0,218.0,1.99
2013,Office 22,22,1160.0,1145.0,81.0,7.07,44.0,66734.0,59717.0,787.0,5.65
